Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round,Keeper Cost,Eligible,Note
RazorMuffin,Kendall Blanton,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
RazorMuffin,Jerry Jeudy,WR,0,0,7,6,True,
RazorMuffin,AJ Dillon,RB,0,0,11,10,True,
RazorMuffin,Rondale Moore,WR,0,0,15,14,True,
RazorMuffin,Tampa Bay Buccaneers,DEF,0,0,4,3,True,
JbMcc3,Keenan Allen,WR,0,0,4,3,True,
JbMcc3,Logan Thomas,TE,0,0,7,6,False,Ineligible. Added after trade deadline.
JbMcc3,Darren Waller,TE,1,1,1,0,False,Ineligible. Drafted in first round.
JbMcc3,Saquon Barkley,RB,0,0,3,2,True,
JbMcc3,DJ Moore,WR,0,0,7,6,True,
JbMcc3,Marquise Brown,WR,0,0,11,10,True,
JbMcc3,Kyler Murray,QB,2,2,1,0,False,Ineligible. Drafted in first round.
JbMcc3,Devin Singletary,RB,0,0,12,11,True,
JbMcc3,Miles Sanders,RB,0,0,5,4,True,
JbMcc3,Tua Tagovailoa,QB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
JbMcc3,D'Andre Swift,RB,1,1,1,0,False,Ineligible. Drafted in first round.
JbMcc3,Cole Kmet,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
JbMcc3,Van Jefferson,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
JbMcc3,Chuba Hubbard,RB,0,0,13,12,False,Ineligible. Added after trade deadline.
JbMcc3,Elijah Moore,WR,0,0,13,12,True,
JbMcc3,San Francisco 49ers,DEF,0,0,7,6,True,
kruse47,Allen Robinson,WR,0,0,5,4,False,Ineligible. Added after trade deadline.
kruse47,Cooper Kupp,WR,0,0,5,4,True,
kruse47,Josh Reynolds,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
kruse47,Austin Ekeler,RB,0,0,4,3,True,
kruse47,Lamar Jackson,QB,0,0,5,4,True,
kruse47,Dalton Schultz,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
kruse47,T.J. Hockenson,TE,1,1,1,0,False,Ineligible. Drafted in first round.
kruse47,David Montgomery,RB,1,1,1,0,False,Ineligible. Drafted in first round.
kruse47,Joe Burrow,QB,0,0,11,10,True,
kruse47,Brandon Aiyuk,WR,0,0,8,7,True,
kruse47,Laviska Shenault,WR,0,0,10,9,False,Ineligible. Added after trade deadline.
kruse47,Chase Claypool,WR,0,0,7,6,True,
kruse47,Antonio Gibson,RB,1,1,1,0,False,Ineligible. Drafted in first round.
kruse47,A.J. Green,WR,0,0,15,14,True,
kruse47,Buffalo Bills,DEF,0,0,12,11,False,Ineligible. Added after trade deadline.
kruse47,Pittsburgh Steelers,DEF,0,0,6,5,True,
larrrl,Brandon Bolden,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
larrrl,Zach Ertz,TE,0,0,6,5,True,
larrrl,Tom Brady,QB,0,0,5,4,True,
larrrl,Jarvis Landry,WR,0,0,9,8,True,
larrrl,Mike Evans,WR,0,0,4,3,True,
larrrl,Tevin Coleman,RB,0,0,15,14,False,Ineligible. Added after trade deadline.
larrrl,Leonard Fournette,RB,0,0,9,8,True,
