Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2020,Keeper Cost 2021,Eligible,Note
TexAgg10,T.J. Hockenson,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TexAgg10,Josh Jacobs,RB,0,0,1,0,False,Ineligible. Drafted in first round.
TexAgg10,Ryquell Armstead,RB,0,0,12,11,True,
TexAgg10,Joe Burrow,QB,0,0,7,6,True,
TexAgg10,Henry Ruggs,WR,0,0,11,10,True,
TexAgg10,Jalen Reagor,WR,0,0,16,15,True,
TexAgg10,A.J. Green,WR,0,0,6,5,False,Ineligible. Added after trade deadline.
TexAgg10,Mark Ingram,RB,1,1,4,3,True,
TexAgg10,Kansas City Chiefs,DEF,0,0,16,15,True,
TxRider,Ryan Tannehill,QB,0,0,11,10,True,
TxRider,Marvin Jones,WR,0,0,8,7,True,
TxRider,Russell Wilson,QB,0,0,1,0,False,Ineligible. Drafted in first round.
TxRider,Giovani Bernard,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
TxRider,Melvin Gordon,RB,1,1,6,5,True,
TxRider,Nelson Agholor,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
TxRider,Corey Davis,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
TxRider,George Kittle,TE,0,0,2,1,True,
TxRider,D.J. Chark,WR,1,1,8,7,True,
TxRider,Kyler Murray,QB,1,1,4,3,True,
TxRider,Damien Harris,RB,0,0,15,14,True,
TxRider,Tony Pollard,RB,0,0,13,12,False,Ineligible. Added after trade deadline.
TxRider,Justin Herbert,QB,0,0,14,13,True,
TxRider,Tee Higgins,WR,0,0,7,6,True,
TxRider,Jonathan Taylor,RB,0,0,5,4,True,
TxRider,Zack Moss,RB,0,0,10,9,True,
TxRider,New Orleans Saints,DEF,0,0,15,14,False,Ineligible. Added after trade deadline.
Whitton48,T.Y. Hilton,WR,0,0,5,4,True,
Whitton48,Le'Veon Bell,RB,0,0,4,3,True,
Whitton48,Latavius Murray,RB,0,0,12,11,True,
Whitton48,Jarvis Landry,WR,0,0,6,5,True,
Whitton48,Stefon Diggs,WR,0,0,3,2,True,
Whitton48,Drew Brees,QB,0,0,2,1,True,
Whitton48,Ezekiel Elliott,RB,0,0,1,0,False,Ineligible. Drafted in first round.
Whitton48,Austin Hooper,TE,0,0,15,14,True,
Whitton48,Hunter Henry,TE,0,0,9,8,True,
Whitton48,Jordan Howard,RB,0,0,10,9,True,
Whitton48,Curtis Samuel,WR,0,0,13,12,True,
Whitton48,Baker Mayfield,QB,0,0,7,6,True,
Whitton48,Bryce Love,RB,0,0,16,15,True,
Whitton48,Tua Tagovailoa,QB,0,0,11,10,True,
Whitton48,CeeDee Lamb,WR,0,0,8,7,True,
Whitton48,Baltimore Ravens,DEF,0,0,10,9,True,
Whitton48,Buffalo Bills,DEF,0,0,14,13,True,
